GPU: NVIDIA GeForce RTX 2070
--- REPRISE : Chargement du cerveau existant (save_terrapolis_models\model_latest.pt) ---
Modèle chargé avec succès ! Epsilon réglé à 0.3
Démarrage de l'entraînement...
--> Démarrage entraînement avec Epsilon = 0.3
Ep 1320 | Score: -5800 | Loss: 1548873.38 | Eps: 0.10
Ep 1330 | Score: -5400 | Loss: 741182.06 | Eps: 0.10
Ep 1340 | Score: -3600 | Loss: 519558.03 | Eps: 0.10
Ep 1350 | Score: 0 | Loss: 13987052.00 | Eps: 0.10
Ep 1360 | Score: -3000 | Loss: 1746941.38 | Eps: 0.10
Ep 1370 | Score: -7600 | Loss: 16698440.00 | Eps: 0.10
Ep 1380 | Score: -1600 | Loss: 5646557.00 | Eps: 0.10
Ep 1390 | Score: -3200 | Loss: 1639452.12 | Eps: 0.10
Ep 1400 | Score: 0 | Loss: 12772161.00 | Eps: 0.10
Ep 1410 | Score: -2600 | Loss: 2834664.50 | Eps: 0.10
Ep 1420 | Score: -7400 | Loss: 11439895.00 | Eps: 0.10
Ep 1430 | Score: -5200 | Loss: 1322692.88 | Eps: 0.10
Ep 1440 | Score: -6000 | Loss: 2431654.25 | Eps: 0.10
Ep 1450 | Score: -2400 | Loss: 4046258.25 | Eps: 0.10
Ep 1460 | Score: -8800 | Loss: 14315652.00 | Eps: 0.10
Ep 1470 | Score: -4000 | Loss: 1953395.12 | Eps: 0.10
Ep 1480 | Score: 0 | Loss: 15619382.00 | Eps: 0.10
Ep 1490 | Score: 0 | Loss: 15972413.00 | Eps: 0.10
Ep 1500 | Score: -7600 | Loss: 9142110.00 | Eps: 0.10
Ep 1510 | Score: -6800 | Loss: 3676609.00 | Eps: 0.10
Ep 1520 | Score: -7600 | Loss: 11546786.00 | Eps: 0.10
Ep 1530 | Score: -400 | Loss: 16345986.00 | Eps: 0.10
Ep 1540 | Score: 0 | Loss: 16937662.00 | Eps: 0.10
Ep 1550 | Score: -1800 | Loss: 9899540.00 | Eps: 0.10
Ep 1560 | Score: -5800 | Loss: 1170353.00 | Eps: 0.10
Ep 1570 | Score: 0 | Loss: 18792790.00 | Eps: 0.10
Ep 1580 | Score: -8600 | Loss: 16596980.00 | Eps: 0.10
Ep 1590 | Score: -4600 | Loss: 646661.38 | Eps: 0.10
Ep 1600 | Score: -6600 | Loss: 3672364.00 | Eps: 0.10
Ep 1610 | Score: -8200 | Loss: 13594306.00 | Eps: 0.10
Ep 1620 | Score: -7200 | Loss: 13966209.00 | Eps: 0.10
Ep 1630 | Score: -9200 | Loss: 13931855.00 | Eps: 0.10
Ep 1640 | Score: 0 | Loss: 18330256.00 | Eps: 0.10
Ep 1650 | Score: -1600 | Loss: 6397861.50 | Eps: 0.10
Ep 1660 | Score: -8000 | Loss: 14176747.00 | Eps: 0.10
Ep 1670 | Score: -6000 | Loss: 3147864.75 | Eps: 0.10
Ep 1680 | Score: -3200 | Loss: 1977461.25 | Eps: 0.10
Ep 1690 | Score: -7000 | Loss: 8131423.50 | Eps: 0.10
Ep 1700 | Score: 0 | Loss: 13486377.00 | Eps: 0.10
Ep 1710 | Score: -6000 | Loss: 4575811.50 | Eps: 0.10
Ep 1720 | Score: 0 | Loss: 9470341.00 | Eps: 0.10
Ep 1730 | Score: -2400 | Loss: 3458974.00 | Eps: 0.10
Ep 1740 | Score: 0 | Loss: 14623659.00 | Eps: 0.10
Ep 1750 | Score: -6800 | Loss: 3440047.75 | Eps: 0.10
Ep 1760 | Score: -6400 | Loss: 1600022.62 | Eps: 0.10
Ep 1770 | Score: -5400 | Loss: 837455.56 | Eps: 0.10
Ep 1780 | Score: 0 | Loss: 16776579.00 | Eps: 0.10
Ep 1790 | Score: -4200 | Loss: 409284.09 | Eps: 0.10
Ep 1800 | Score: -6000 | Loss: 2006451.88 | Eps: 0.10
Ep 1810 | Score: -2000 | Loss: 3878309.00 | Eps: 0.10
Ep 1820 | Score: -7600 | Loss: 17871194.00 | Eps: 0.10
Ep 1830 | Score: -7200 | Loss: 7968506.00 | Eps: 0.10
Ep 1840 | Score: -7400 | Loss: 18019818.00 | Eps: 0.10
Ep 1850 | Score: -4400 | Loss: 864059.00 | Eps: 0.10
Ep 1860 | Score: -8400 | Loss: 15003320.00 | Eps: 0.10
Ep 1870 | Score: 0 | Loss: 16448007.00 | Eps: 0.10
Ep 1880 | Score: 0 | Loss: 11514962.00 | Eps: 0.10
Ep 1890 | Score: -3800 | Loss: 964843.50 | Eps: 0.10
Ep 1900 | Score: -6600 | Loss: 2535577.75 | Eps: 0.10
Ep 1910 | Score: -6200 | Loss: 1913392.62 | Eps: 0.10
Ep 1920 | Score: -5400 | Loss: 699408.19 | Eps: 0.10
Ep 1930 | Score: -7200 | Loss: 10871139.00 | Eps: 0.10
Ep 1940 | Score: -3800 | Loss: 2183309.25 | Eps: 0.10
Ep 1950 | Score: -5600 | Loss: 1201353.12 | Eps: 0.10
Ep 1960 | Score: 0 | Loss: 16881512.00 | Eps: 0.10
Ep 1970 | Score: 0 | Loss: 11181556.00 | Eps: 0.10
Ep 1980 | Score: -7000 | Loss: 6693387.00 | Eps: 0.10
Ep 1990 | Score: -3200 | Loss: 3222808.25 | Eps: 0.10
Ep 2000 | Score: -6400 | Loss: 3039582.75 | Eps: 0.10
Ep 2010 | Score: -7200 | Loss: 5774258.00 | Eps: 0.10
Ep 2020 | Score: -400 | Loss: 10403173.00 | Eps: 0.10
Ep 2030 | Score: -5400 | Loss: 2110717.50 | Eps: 0.10
Ep 2040 | Score: 0 | Loss: 16012372.00 | Eps: 0.10
Ep 2050 | Score: -600 | Loss: 12221299.00 | Eps: 0.10
Ep 2060 | Score: 0 | Loss: 14978930.00 | Eps: 0.10
Ep 2070 | Score: -4400 | Loss: 517393.50 | Eps: 0.10
Ep 2080 | Score: -10000 | Loss: 26533672.00 | Eps: 0.10
Ep 2090 | Score: -6400 | Loss: 4018617.25 | Eps: 0.10
Ep 2100 | Score: -6800 | Loss: 3479836.00 | Eps: 0.10
Ep 2110 | Score: -4600 | Loss: 423430.75 | Eps: 0.10
Ep 2120 | Score: -7200 | Loss: 10645263.00 | Eps: 0.10
Ep 2130 | Score: -3200 | Loss: 2092488.62 | Eps: 0.10
Ep 2140 | Score: -7800 | Loss: 9337554.00 | Eps: 0.10
Ep 2150 | Score: 0 | Loss: 13027583.00 | Eps: 0.10
Ep 2160 | Score: 0 | Loss: 12823647.00 | Eps: 0.10
Ep 2170 | Score: 0 | Loss: 11280105.00 | Eps: 0.10
Ep 2180 | Score: 0 | Loss: 11747589.00 | Eps: 0.10
Ep 2190 | Score: -3000 | Loss: 2058210.75 | Eps: 0.10
Ep 2200 | Score: -8800 | Loss: 16166734.00 | Eps: 0.10
Ep 2210 | Score: 0 | Loss: 14695545.00 | Eps: 0.10
Ep 2220 | Score: -3200 | Loss: 3071448.75 | Eps: 0.10
Ep 2230 | Score: -5600 | Loss: 3181728.25 | Eps: 0.10
Ep 2240 | Score: -4800 | Loss: 371901.59 | Eps: 0.10
Ep 2250 | Score: -6400 | Loss: 5419021.00 | Eps: 0.10
Ep 2260 | Score: -5400 | Loss: 396873.16 | Eps: 0.10
Ep 2270 | Score: -8400 | Loss: 10223240.00 | Eps: 0.10
Ep 2280 | Score: -6000 | Loss: 2528107.75 | Eps: 0.10
Ep 2290 | Score: -4200 | Loss: 1152650.88 | Eps: 0.10
Ep 2300 | Score: 0 | Loss: 15875128.00 | Eps: 0.10
Ep 2310 | Score: -2600 | Loss: 4576051.00 | Eps: 0.10
Ep 2320 | Score: -7400 | Loss: 8649153.00 | Eps: 0.10
Ep 2330 | Score: -4600 | Loss: 91821.47 | Eps: 0.10
Ep 2340 | Score: -7200 | Loss: 6672121.00 | Eps: 0.10
Ep 2350 | Score: -8400 | Loss: 13188280.00 | Eps: 0.10
Ep 2360 | Score: -9800 | Loss: 30345194.00 | Eps: 0.10
Ep 2370 | Score: -1600 | Loss: 6504939.00 | Eps: 0.10
Ep 2380 | Score: 0 | Loss: 14125155.00 | Eps: 0.10
Ep 2390 | Score: -9000 | Loss: 11570377.00 | Eps: 0.10
Ep 2400 | Score: -5800 | Loss: 1387747.25 | Eps: 0.10
Ep 2410 | Score: -4800 | Loss: 553226.00 | Eps: 0.10
Ep 2420 | Score: -10800 | Loss: 42577752.00 | Eps: 0.10
Ep 2430 | Score: -8600 | Loss: 11374727.00 | Eps: 0.10
Ep 2440 | Score: -6800 | Loss: 8174822.00 | Eps: 0.10
Ep 2450 | Score: -7000 | Loss: 4428249.00 | Eps: 0.10
