CPU
--- REPRISE : Chargement du cerveau existant (save_terrapolis_models\model_latest.pt) ---
Modèle chargé avec succès ! Epsilon réglé à 0.3
Démarrage de l'entraînement...
--> Démarrage entraînement avec Epsilon = 0.3
Ep 1390 | Score: 35265 | Loss: 346503328.00 | Eps: 0.10
Ep 1400 | Score: 49147 | Loss: 1045056640.00 | Eps: 0.10
Ep 1410 | Score: 29877 | Loss: 75179976.00 | Eps: 0.10
Ep 1420 | Score: 8662 | Loss: 294935936.00 | Eps: 0.10
Ep 1430 | Score: 59291 | Loss: 132020336.00 | Eps: 0.10
Ep 1440 | Score: 27291 | Loss: 292442240.00 | Eps: 0.10
Ep 1450 | Score: 18882 | Loss: 619824896.00 | Eps: 0.10
Ep 1460 | Score: 48142 | Loss: 117718000.00 | Eps: 0.10
Ep 1470 | Score: 23800 | Loss: 240029584.00 | Eps: 0.10
Ep 1480 | Score: 96889 | Loss: 2920394752.00 | Eps: 0.10
Ep 1490 | Score: 27536 | Loss: 558124608.00 | Eps: 0.10
Ep 1500 | Score: 38003 | Loss: 109415272.00 | Eps: 0.10
Ep 1510 | Score: 71353 | Loss: 1672226944.00 | Eps: 0.10
Ep 1520 | Score: 54810 | Loss: 13025506.00 | Eps: 0.10
Ep 1530 | Score: 28976 | Loss: 297499296.00 | Eps: 0.10
Ep 1540 | Score: 42088 | Loss: 23256286.00 | Eps: 0.10
Ep 1550 | Score: 43685 | Loss: 41873228.00 | Eps: 0.10
Ep 1560 | Score: 48306 | Loss: 75266936.00 | Eps: 0.10
Ep 1570 | Score: 45921 | Loss: 13228576.00 | Eps: 0.10
Ep 1580 | Score: 33921 | Loss: 303226048.00 | Eps: 0.10
Ep 1590 | Score: 43414 | Loss: 16286491.00 | Eps: 0.10
Ep 1600 | Score: 21015 | Loss: 334341472.00 | Eps: 0.10
Ep 1610 | Score: 50089 | Loss: 38933864.00 | Eps: 0.10
Ep 1620 | Score: 58088 | Loss: 115651288.00 | Eps: 0.10
Ep 1630 | Score: 44778 | Loss: 6235853.00 | Eps: 0.10
Ep 1640 | Score: 26930 | Loss: 914628416.00 | Eps: 0.10
Ep 1650 | Score: 32231 | Loss: 93479200.00 | Eps: 0.10
Ep 1660 | Score: 35014 | Loss: 32285250.00 | Eps: 0.10
Ep 1670 | Score: 42538 | Loss: 34637500.00 | Eps: 0.10
Ep 1680 | Score: 38537 | Loss: 1165457024.00 | Eps: 0.10
Ep 1690 | Score: 70917 | Loss: 812044864.00 | Eps: 0.10
Ep 1700 | Score: 71217 | Loss: 207040608.00 | Eps: 0.10
Ep 1710 | Score: 61072 | Loss: 144594336.00 | Eps: 0.10
Ep 1720 | Score: 46468 | Loss: 117004408.00 | Eps: 0.10
Ep 1730 | Score: 26480 | Loss: 676780160.00 | Eps: 0.10
Ep 1740 | Score: 45034 | Loss: 3112182.50 | Eps: 0.10
Ep 1750 | Score: 71440 | Loss: 1046027968.00 | Eps: 0.10
Ep 1760 | Score: 29415 | Loss: 293321344.00 | Eps: 0.10
Ep 1770 | Score: 37714 | Loss: 43787192.00 | Eps: 0.10
Ep 1780 | Score: 72202 | Loss: 1426926720.00 | Eps: 0.10
Ep 1790 | Score: 98634 | Loss: 2540039424.00 | Eps: 0.10
Ep 1800 | Score: 102324 | Loss: 437072832.00 | Eps: 0.10
Ep 1810 | Score: 68303 | Loss: 136404672.00 | Eps: 0.10
Ep 1820 | Score: 34153 | Loss: 24462476.00 | Eps: 0.10
Ep 1830 | Score: 59483 | Loss: 220518976.00 | Eps: 0.10
Ep 1840 | Score: 37657 | Loss: 34785396.00 | Eps: 0.10
Ep 1850 | Score: 58806 | Loss: 414327840.00 | Eps: 0.10
Ep 1860 | Score: 28578 | Loss: 62894004.00 | Eps: 0.10
Ep 1870 | Score: 46121 | Loss: 39358172.00 | Eps: 0.10
Ep 1880 | Score: 54978 | Loss: 16732534.00 | Eps: 0.10
Ep 1890 | Score: 10269 | Loss: 998137216.00 | Eps: 0.10
Ep 1900 | Score: 33169 | Loss: 31196924.00 | Eps: 0.10
