CPU
--- REPRISE : Chargement du cerveau existant (save_terrapolis_models\model_latest.pt) ---
Mod le charg  avec succ s ! Epsilon r gl    0.3
D marrage de l'entra nement...
--> D marrage entra nement avec Epsilon = 0.3
Ep 1950 | Score: -65517 | Loss: 14039079936.00 | Eps: 0.10
Ep 1960 | Score: 271486 | Loss: 34522374144.00 | Eps: 0.10
Ep 1970 | Score: 279654 | Loss: 29259507712.00 | Eps: 0.10
Ep 1980 | Score: -7116 | Loss: 7293744128.00 | Eps: 0.10
Ep 1990 | Score: -64881 | Loss: 21169915904.00 | Eps: 0.10
Ep 2000 | Score: 262830 | Loss: 20834232320.00 | Eps: 0.10
Ep 2010 | Score: -71132 | Loss: 51069095936.00 | Eps: 0.10
Ep 2020 | Score: -76262 | Loss: 31148570624.00 | Eps: 0.10
Ep 2030 | Score: 264769 | Loss: 37533933568.00 | Eps: 0.10
Ep 2040 | Score: -88134 | Loss: 32113203200.00 | Eps: 0.10
Ep 2050 | Score: 78762 | Loss: 925516160.00 | Eps: 0.10
Ep 2060 | Score: 266173 | Loss: 23487287296.00 | Eps: 0.10
Ep 2070 | Score: -16362 | Loss: 8909165568.00 | Eps: 0.10
Ep 2080 | Score: 275264 | Loss: 32455401472.00 | Eps: 0.10
Ep 2090 | Score: -72265 | Loss: 28793305088.00 | Eps: 0.10
Ep 2100 | Score: -4922 | Loss: 6297244160.00 | Eps: 0.10
Ep 2110 | Score: 7708 | Loss: 6589298688.00 | Eps: 0.10
Ep 2120 | Score: 59309 | Loss: 1208523648.00 | Eps: 0.10
Ep 2130 | Score: 273286 | Loss: 15809281024.00 | Eps: 0.10
Ep 2140 | Score: -83737 | Loss: 49271873536.00 | Eps: 0.10
Ep 2150 | Score: 87218 | Loss: 1783187456.00 | Eps: 0.10
Ep 2160 | Score: 271453 | Loss: 23710361600.00 | Eps: 0.10
Ep 2170 | Score: -15846 | Loss: 9799646208.00 | Eps: 0.10
Ep 2180 | Score: -77365 | Loss: 32813821952.00 | Eps: 0.10
Ep 2190 | Score: 62251 | Loss: 447865120.00 | Eps: 0.10
Ep 2200 | Score: 254367 | Loss: 24769538048.00 | Eps: 0.10
Ep 2210 | Score: 214493 | Loss: 17407313920.00 | Eps: 0.10
Ep 2220 | Score: 262139 | Loss: 32798748672.00 | Eps: 0.10
Ep 2230 | Score: 25909 | Loss: 1599819776.00 | Eps: 0.10
Ep 2240 | Score: 247287 | Loss: 17247471616.00 | Eps: 0.10
Ep 2250 | Score: 258161 | Loss: 13710553088.00 | Eps: 0.10
Ep 2260 | Score: 37879 | Loss: 1570307328.00 | Eps: 0.10
Ep 2270 | Score: 267659 | Loss: 17469401088.00 | Eps: 0.10
Ep 2280 | Score: 256167 | Loss: 11593313280.00 | Eps: 0.10
Ep 2290 | Score: 258349 | Loss: 15730420736.00 | Eps: 0.10
Ep 2300 | Score: 257546 | Loss: 17165217792.00 | Eps: 0.10
Ep 2310 | Score: 66465 | Loss: 513170464.00 | Eps: 0.10
Ep 2320 | Score: -84381 | Loss: 39234064384.00 | Eps: 0.10
Ep 2330 | Score: -42929 | Loss: 13031353344.00 | Eps: 0.10
Ep 2340 | Score: -66660 | Loss: 30400860160.00 | Eps: 0.10
Ep 2350 | Score: -91574 | Loss: 48179924992.00 | Eps: 0.10
Ep 2360 | Score: 248076 | Loss: 29152573440.00 | Eps: 0.10
Ep 2370 | Score: -71236 | Loss: 17197344768.00 | Eps: 0.10
Ep 2380 | Score: 250685 | Loss: 30536544256.00 | Eps: 0.10
Ep 2390 | Score: 33327 | Loss: 1739783424.00 | Eps: 0.10
Ep 2400 | Score: -96399 | Loss: 47416713216.00 | Eps: 0.10
Ep 2410 | Score: -60021 | Loss: 16101534720.00 | Eps: 0.10
Ep 2420 | Score: -53504 | Loss: 25695350784.00 | Eps: 0.10
Ep 2430 | Score: 186395 | Loss: 10289295360.00 | Eps: 0.10
Ep 2440 | Score: 258137 | Loss: 24359704576.00 | Eps: 0.10
